,date_time,plant_id,source_key,unix time,mean ambient temperature,min ambient temperature,max ambient temperature,lrc ambient temperature,mean module temperature,min module temperature,max module temperature,lrc module temperature,mean irradiation,min irradiation,max irradiation,lrc irradiation
0,2020-05-15 02:15:00,4135001,HmiyD2TTLFNqkNe,1589480100.0,24.866927962380952,24.5360922,25.184316133333333,-0.021840474487735774,22.658951357619046,21.968570866666667,23.343229266666665,0.053606362972581804,0.0,0.0,0.0,0.0
1,2020-05-15 02:30:00,4135001,HmiyD2TTLFNqkNe,1589481000.0,24.84901128238095,24.5360922,25.08458866666667,0.006858084415582559,22.737146544285714,21.968570866666667,23.639459266666663,0.12032568204906115,0.0,0.0,0.0,0.0
2,2020-05-15 02:45:00,4135001,HmiyD2TTLFNqkNe,1589481900.0,24.839854369047615,24.5360922,25.0122476,0.030418238874457288,22.864928337619048,21.968570866666667,24.0394858,0.19299712354978246,0.0,0.0,0.0,0.0
3,2020-05-15 03:00:00,4135001,HmiyD2TTLFNqkNe,1589482800.0,24.84791005190476,24.5360922,25.016309428571425,0.04643627569985422,23.044111341428568,21.968570866666667,24.384135571428573,0.25768811904761824,0.0,0.0,0.0,0.0
4,2020-05-15 03:15:00,4135001,HmiyD2TTLFNqkNe,1589483700.0,24.861818538571427,24.5360922,25.016309428571425,0.05380700759018673,23.243176901428573,21.968570866666667,24.384135571428573,0.28345003564213406,0.0,0.0,0.0,0.0
5,2020-05-15 03:30:00,4135001,HmiyD2TTLFNqkNe,1589484600.0,24.893439196190474,24.5360922,25.016309428571425,0.041928192784991346,23.43266429047619,21.968570866666667,24.384135571428573,0.2561699134776326,0.0,0.0,0.0,0.0
6,2020-05-15 03:45:00,4135001,HmiyD2TTLFNqkNe,1589485500.0,24.927739929523806,24.638673866666664,25.016309428571425,0.01732289627705569,23.60678661714286,22.352925666666668,24.384135571428573,0.1736798584704183,0.0,0.0,0.0,0.0
7,2020-05-15 04:00:00,4135001,HmiyD2TTLFNqkNe,1589486400.0,24.93176276285714,24.6789022,25.016309428571425,-0.015521141645021372,23.630488203809524,22.58994153333333,24.384135571428573,0.03462485113996972,0.0,0.0,0.0,0.0
8,2020-05-15 04:15:00,4135001,HmiyD2TTLFNqkNe,1589487300.0,24.879653609523807,24.3519308,25.016309428571425,-0.051064368253968755,23.492760537142857,21.78364253333333,24.384135571428573,-0.09741678568542601,0.0,0.0,0.0,0.0
9,2020-05-15 04:30:00,4135001,HmiyD2TTLFNqkNe,1589488200.0,24.792222782857138,24.0626222,25.016309428571425,-0.09181126072150059,23.37540173047619,21.78364253333333,24.384135571428573,-0.21799401806637828,0.0,0.0,0.0,0.0
10,2020-05-15 04:45:00,4135001,HmiyD2TTLFNqkNe,1589489100.0,24.69232044285714,24.013224200000003,25.016309428571425,-0.11963377137085154,23.271710303809527,21.78364253333333,24.384135571428573,-0.27845267064935164,0.0,0.0,0.0,0.0
11,2020-05-15 05:00:00,4135001,HmiyD2TTLFNqkNe,1589490000.0,24.609516089523808,24.013224200000003,25.016309428571425,-0.12688112888888853,23.162955223809526,21.78364253333333,24.384135571428573,-0.29319799151515225,0.0,0.0,0.0,0.0
12,2020-05-15 05:15:00,4135001,HmiyD2TTLFNqkNe,1589490900.0,24.540702936190474,24.013224200000003,25.016309428571425,-0.1179303102453099,23.056955850952384,21.78364253333333,24.384135571428573,-0.24476970080808072,0.0,0.0,0.0,0.0
13,2020-05-15 05:30:00,4135001,HmiyD2TTLFNqkNe,1589491800.0,24.471944720000003,24.013224200000003,24.985215266666664,-0.09778552000000029,22.963780340476195,21.78364253333333,24.35150773333333,-0.13472243737373835,0.0,0.0,0.0,0.0
14,2020-05-15 05:45:00,4135001,HmiyD2TTLFNqkNe,1589492700.0,24.40234430666667,24.013224200000003,24.93773193333333,-0.0735347701010114,22.838298760476192,21.78364253333333,24.060296533333336,-0.03495755460317564,8.627212413333e-05,0.0,0.0008627212413333,4.705752225454364e-05
15,2020-05-15 06:00:00,4135001,HmiyD2TTLFNqkNe,1589493600.0,24.317415719999996,24.013224200000003,24.87909953333333,-0.05496398383838466,22.652944767142856,21.78364253333333,23.709794133333336,0.012061209379509148,0.00067496784279999,0.0,0.0058869571866666,0.0003577070507232272
16,2020-05-15 06:15:00,4135001,HmiyD2TTLFNqkNe,1589494500.0,24.23066929333333,24.01163526666667,24.6789022,-0.03419733010101135,22.517311220476188,21.78364253333333,23.452380466666668,0.06618222831168742,0.0029031285894666496,0.0,0.0222816074666666,0.0014912531740201942
17,2020-05-15 06:30:00,4135001,HmiyD2TTLFNqkNe,1589495400.0,24.1604522,23.976731266666665,24.3519308,-0.018166301414141814,22.547645267142855,21.78364253333333,23.452380466666668,0.09153174623376503,0.00784410097613331,0.0,0.0494097238666666,0.0038344346468121102
18,2020-05-15 06:45:00,4135001,HmiyD2TTLFNqkNe,1589496300.0,24.147158119999997,23.976731266666665,24.328727266666665,-0.002208090505051861,22.813525407142855,21.85252493333333,24.442443933333333,0.1439508851659448,0.01738354633613331,0.0,0.0953944536,0.008086968361220196
19,2020-05-15 07:00:00,4135001,HmiyD2TTLFNqkNe,1589497200.0,24.19463574,23.976731266666665,24.5373984,0.013442014949493793,23.346838200476192,22.2067566,27.185652866666665,0.31836386652236515,0.03157759066946664,0.0,0.1419404433333333,0.013722077835628278
