,date_time,plant_id,source_key,unix time,mean ambient temperature,min ambient temperature,max ambient temperature,lrc ambient temperature,mean module temperature,min module temperature,max module temperature,lrc module temperature,mean irradiation,min irradiation,max irradiation,lrc irradiation,DC_0_post_15_min_forecast,DC_0_post_30_min_forecast,DC_0_post_45_min_forecast,DC_0_post_60_min_forecast,DC_1_post_15_min_forecast,DC_1_post_30_min_forecast,DC_1_post_45_min_forecast,DC_1_post_60_min_forecast,DC_2_post_15_min_forecast,DC_2_post_30_min_forecast,DC_2_post_45_min_forecast,DC_2_post_60_min_forecast,DC_3_post_15_min_forecast,DC_3_post_30_min_forecast,DC_3_post_45_min_forecast,DC_3_post_60_min_forecast,DC_4_post_15_min_forecast,DC_4_post_30_min_forecast,DC_4_post_45_min_forecast,DC_4_post_60_min_forecast,DC_5_post_15_min_forecast,DC_5_post_30_min_forecast,DC_5_post_45_min_forecast,DC_5_post_60_min_forecast,DC_6_post_15_min_forecast,DC_6_post_30_min_forecast,DC_6_post_45_min_forecast,DC_6_post_60_min_forecast,DC_7_post_15_min_forecast,DC_7_post_30_min_forecast,DC_7_post_45_min_forecast,DC_7_post_60_min_forecast,DC_8_post_15_min_forecast,DC_8_post_30_min_forecast,DC_8_post_45_min_forecast,DC_8_post_60_min_forecast,DC_9_post_15_min_forecast,DC_9_post_30_min_forecast,DC_9_post_45_min_forecast,DC_9_post_60_min_forecast,DC_10_post_15_min_forecast,DC_10_post_30_min_forecast,DC_10_post_45_min_forecast,DC_10_post_60_min_forecast,DC_11_post_15_min_forecast,DC_11_post_30_min_forecast,DC_11_post_45_min_forecast,DC_11_post_60_min_forecast,DC_12_post_15_min_forecast,DC_12_post_30_min_forecast,DC_12_post_45_min_forecast,DC_12_post_60_min_forecast,DC_13_post_15_min_forecast,DC_13_post_30_min_forecast,DC_13_post_45_min_forecast,DC_13_post_60_min_forecast,DC_14_post_15_min_forecast,DC_14_post_30_min_forecast,DC_14_post_45_min_forecast,DC_14_post_60_min_forecast,DC_15_post_15_min_forecast,DC_15_post_30_min_forecast,DC_15_post_45_min_forecast,DC_15_post_60_min_forecast,DC_16_post_15_min_forecast,DC_16_post_30_min_forecast,DC_16_post_45_min_forecast,DC_16_post_60_min_forecast,DC_17_post_15_min_forecast,DC_17_post_30_min_forecast,DC_17_post_45_min_forecast,DC_17_post_60_min_forecast,DC_18_post_15_min_forecast,DC_18_post_30_min_forecast,DC_18_post_45_min_forecast,DC_18_post_60_min_forecast,DC_19_post_15_min_forecast,DC_19_post_30_min_forecast,DC_19_post_45_min_forecast,DC_19_post_60_min_forecast,DC_20_post_15_min_forecast,DC_20_post_30_min_forecast,DC_20_post_45_min_forecast,DC_20_post_60_min_forecast,DC_21_post_15_min_forecast,DC_21_post_30_min_forecast,DC_21_post_45_min_forecast,DC_21_post_60_min_forecast
0,2020-05-15 02:15:00,4136001,iq8k7ZNt4Mwm3w0,1589480100.0,26.571988092528738,26.22607820689656,27.004763700000005,-0.07133703026819983,24.827001072758623,24.4206776,25.31796966666667,0.019294514085683757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-05-15 02:30:00,4136001,iq8k7ZNt4Mwm3w0,1589481000.0,26.497551642528737,26.22607820689656,26.880811433333328,-0.05948108087774337,24.769162846091955,24.4206776,25.31796966666667,0.016084308902821223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-05-15 02:45:00,4136001,iq8k7ZNt4Mwm3w0,1589481900.0,26.439253109195402,26.22607820689656,26.682055344827592,-0.0448245486590041,24.77584578275862,24.4206776,25.31796966666667,-0.022366696886103307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-05-15 03:00:00,4136001,iq8k7ZNt4Mwm3w0,1589482800.0,26.403872485057473,26.22607820689656,26.596148,-0.03469249690003521,24.783745713793106,24.4206776,25.31796966666667,-0.06030679176593558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-05-15 03:15:00,4136001,iq8k7ZNt4Mwm3w0,1589483700.0,26.369684568390806,26.15870973333333,26.596148,-0.04161724963427437,24.80119769712644,24.482406633333337,25.31796966666667,-0.09479578434691806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-05-15 03:30:00,4136001,iq8k7ZNt4Mwm3w0,1589484600.0,26.31791970172414,26.078499333333333,26.512740033333333,-0.042402518530129864,24.772508092413794,24.482406633333337,25.31796966666667,-0.07565523944270394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-05-15 03:45:00,4136001,iq8k7ZNt4Mwm3w0,1589485500.0,26.266776094942525,26.00130396551724,26.494338966666664,-0.04668444567049859,24.701492870574715,24.482406633333337,25.217192533333336,-0.04827426053639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-05-15 04:00:00,4136001,iq8k7ZNt4Mwm3w0,1589486400.0,26.187063258275863,25.6972106,26.420410206896552,-0.06258079637060356,24.642391517241382,24.482406633333337,25.065062310344832,-0.01800231232323301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-05-15 04:15:00,4136001,iq8k7ZNt4Mwm3w0,1589487300.0,26.107792478965518,25.6277024137931,26.401946133333333,-0.07753492464646462,24.613199793103448,24.482406633333337,24.801314366666663,0.01730775246255568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-05-15 04:30:00,4136001,iq8k7ZNt4Mwm3w0,1589488200.0,26.015802444203608,25.482045785714284,26.328249103448275,-0.09205631883564831,24.623721931436783,24.482406633333337,24.801314366666663,0.032534321682339454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
