,date_time,plant_id,source_key,unix time,mean ambient temperature,min ambient temperature,max ambient temperature,mean module temperature,min module temperature,max module temperature,mean irradiation,min irradiation,max irradiation
0,2020-05-15 02:15:00,4135001,HmiyD2TTLFNqkNe,1589480100.0,24.866927962380952,24.5360922,25.184316133333333,22.658951357619046,21.968570866666667,23.343229266666665,0.0,0.0,0.0
1,2020-05-15 02:30:00,4135001,HmiyD2TTLFNqkNe,1589481000.0,24.84901128238095,24.5360922,25.08458866666667,22.737146544285714,21.968570866666667,23.639459266666663,0.0,0.0,0.0
2,2020-05-15 02:45:00,4135001,HmiyD2TTLFNqkNe,1589481900.0,24.839854369047615,24.5360922,25.0122476,22.864928337619048,21.968570866666667,24.0394858,0.0,0.0,0.0
3,2020-05-15 03:00:00,4135001,HmiyD2TTLFNqkNe,1589482800.0,24.84791005190476,24.5360922,25.016309428571425,23.044111341428568,21.968570866666667,24.384135571428573,0.0,0.0,0.0
4,2020-05-15 03:15:00,4135001,HmiyD2TTLFNqkNe,1589483700.0,24.861818538571427,24.5360922,25.016309428571425,23.243176901428573,21.968570866666667,24.384135571428573,0.0,0.0,0.0
5,2020-05-15 03:30:00,4135001,HmiyD2TTLFNqkNe,1589484600.0,24.893439196190474,24.5360922,25.016309428571425,23.43266429047619,21.968570866666667,24.384135571428573,0.0,0.0,0.0
6,2020-05-15 03:45:00,4135001,HmiyD2TTLFNqkNe,1589485500.0,24.927739929523806,24.638673866666664,25.016309428571425,23.60678661714286,22.352925666666668,24.384135571428573,0.0,0.0,0.0
7,2020-05-15 04:00:00,4135001,HmiyD2TTLFNqkNe,1589486400.0,24.93176276285714,24.6789022,25.016309428571425,23.630488203809524,22.58994153333333,24.384135571428573,0.0,0.0,0.0
8,2020-05-15 04:15:00,4135001,HmiyD2TTLFNqkNe,1589487300.0,24.879653609523807,24.3519308,25.016309428571425,23.492760537142857,21.78364253333333,24.384135571428573,0.0,0.0,0.0
9,2020-05-15 04:30:00,4135001,HmiyD2TTLFNqkNe,1589488200.0,24.792222782857138,24.0626222,25.016309428571425,23.37540173047619,21.78364253333333,24.384135571428573,0.0,0.0,0.0
10,2020-05-15 04:45:00,4135001,HmiyD2TTLFNqkNe,1589489100.0,24.69232044285714,24.013224200000003,25.016309428571425,23.271710303809527,21.78364253333333,24.384135571428573,0.0,0.0,0.0
11,2020-05-15 05:00:00,4135001,HmiyD2TTLFNqkNe,1589490000.0,24.609516089523808,24.013224200000003,25.016309428571425,23.162955223809526,21.78364253333333,24.384135571428573,0.0,0.0,0.0
12,2020-05-15 05:15:00,4135001,HmiyD2TTLFNqkNe,1589490900.0,24.540702936190474,24.013224200000003,25.016309428571425,23.056955850952384,21.78364253333333,24.384135571428573,0.0,0.0,0.0
13,2020-05-15 05:30:00,4135001,HmiyD2TTLFNqkNe,1589491800.0,24.471944720000003,24.013224200000003,24.985215266666664,22.963780340476195,21.78364253333333,24.35150773333333,0.0,0.0,0.0
14,2020-05-15 05:45:00,4135001,HmiyD2TTLFNqkNe,1589492700.0,24.40234430666667,24.013224200000003,24.93773193333333,22.838298760476192,21.78364253333333,24.060296533333336,8.627212413333e-05,0.0,0.0008627212413333
15,2020-05-15 06:00:00,4135001,HmiyD2TTLFNqkNe,1589493600.0,24.317415719999996,24.013224200000003,24.87909953333333,22.652944767142856,21.78364253333333,23.709794133333336,0.00067496784279999,0.0,0.0058869571866666
16,2020-05-15 06:15:00,4135001,HmiyD2TTLFNqkNe,1589494500.0,24.23066929333333,24.01163526666667,24.6789022,22.517311220476188,21.78364253333333,23.452380466666668,0.0029031285894666496,0.0,0.0222816074666666
17,2020-05-15 06:30:00,4135001,HmiyD2TTLFNqkNe,1589495400.0,24.1604522,23.976731266666665,24.3519308,22.547645267142855,21.78364253333333,23.452380466666668,0.00784410097613331,0.0,0.0494097238666666
18,2020-05-15 06:45:00,4135001,HmiyD2TTLFNqkNe,1589496300.0,24.147158119999997,23.976731266666665,24.328727266666665,22.813525407142855,21.85252493333333,24.442443933333333,0.01738354633613331,0.0,0.0953944536
19,2020-05-15 07:00:00,4135001,HmiyD2TTLFNqkNe,1589497200.0,24.19463574,23.976731266666665,24.5373984,23.346838200476192,22.2067566,27.185652866666665,0.03157759066946664,0.0,0.1419404433333333
20,2020-05-15 07:15:00,4135001,HmiyD2TTLFNqkNe,1589498100.0,24.27490927,23.976731266666665,24.8159595,24.005054486190478,22.2067566,28.888477857142853,0.0470488582408952,0.0,0.1547126757142856
21,2020-05-15 07:30:00,4135001,HmiyD2TTLFNqkNe,1589499000.0,24.356077676666665,23.976731266666665,24.988789866666668,24.710428019523807,22.2067566,29.6056438,0.06192877357422853,0.0,0.1547126757142856
22,2020-05-15 07:45:00,4135001,HmiyD2TTLFNqkNe,1589499900.0,24.447206910000002,23.976731266666665,25.21618033333333,25.367189905714284,22.2067566,29.6056438,0.07640811546756186,0.0,0.1547126757142856
23,2020-05-15 08:00:00,4135001,HmiyD2TTLFNqkNe,1589500800.0,24.55628549,23.976731266666665,25.41951306666667,26.163206332380952,22.2067566,31.412544733333327,0.09657197760089518,0.0008627212413333,0.2016386213333333
24,2020-05-15 08:15:00,4135001,HmiyD2TTLFNqkNe,1589501700.0,24.72327259,23.976731266666665,25.95908213333333,27.40640821904762,22.2067566,35.5287108,0.1310564708100952,0.0058869571866666,0.3457076533333333
